circuitId,length_km,corners,laps
albert_park,5.303,16,58
bahrain,5.412,15,57
baku,6.003,20,51
catalunya,4.655,16,66
monaco,3.337,19,78
canada,4.361,14,70
red_bull_ring,4.318,10,71
silverstone,5.891,18,52
hungaroring,4.381,14,70
spa,7.004,19,44
monza,5.793,11,53
marina_bay,5.063,23,61
japan,5.807,18,53
americas,5.513,20,56
rodriguez,4.304,17,71
interlagos,4.309,15,71
yas_marina,5.554,16,58
vegas,6.120,14,50
miami,5.410,19,57
imola,4.909,17,63
sochi,5.848,18,53
zandvoort,4.259,14,72
losail,5.380,16,57

