season,round,circuitId,race_date,driver,finish_pos,fastest_lap,Q1,Q2,Q3,avg_temp,precip_mm,length_km,corners,laps,team,made_Q2,made_Q3,grid_position,leak_proof_weighted_mean,leak_proof_weighted_podium_rate,leak_proof_current_mean,leak_proof_current_podium_rate,leak_proof_current_wins_rate,leak_proof_recent_form,leak_proof_consistency,leak_proof_peak_performance,leak_proof_career_mean,leak_proof_career_podium,leak_proof_last3_fin,leak_proof_points_rate,leak_proof_team_mean,leak_proof_team_podium_rate,leak_proof_circuit_mean_norm,leak_proof_circuit_podium_norm
2024,1,bahrain,2024-03-02,albon,15,95.723,90.39699999999999,90.221,,17.05,0.0,5.412,15.0,57.0,williams,1,0,12.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,alonso,9,94.199,90.179,89.801,89.542,17.05,0.0,5.412,15.0,57.0,aston_martin,1,1,6.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,bottas,19,96.202,90.756,,,17.05,0.0,5.412,15.0,57.0,unknown,0,0,16.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,gasly,18,94.805,90.94800000000001,,,17.05,0.0,5.412,15.0,57.0,alpine,0,0,20.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,hamilton,7,94.722,90.451,89.718,89.71000000000001,17.05,0.0,5.412,15.0,57.0,ferrari,1,1,9.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,hulkenberg,16,94.834,90.566,89.851,90.502,17.05,0.0,5.412,15.0,57.0,kick_sauber,1,1,14.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,kevin_magnussen,12,95.57,90.646,90.529,,17.05,0.0,5.412,15.0,57.0,unknown,1,0,15.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,leclerc,4,94.09,90.243,89.16499999999999,89.407,17.05,0.0,5.412,15.0,57.0,ferrari,1,1,2.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,max_verstappen,1,92.608,90.031,89.374,89.179,17.05,0.0,5.412,15.0,57.0,red_bull,1,1,1.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
2024,1,bahrain,2024-03-02,norris,6,94.476,90.143,89.941,89.614,17.05,0.0,5.412,15.0,57.0,mclaren,1,1,7.0,12.0,0.05,12.0,0.05,0.01,9.0,16.0,9.0,12.0,0.05,12.0,0.3,12.0,0.05,0.0,0.0
