season,round,circuitId,race_date,driver,finish_pos,fastest_lap,Q1,Q2,Q3
2024,1,bahrain,2024-03-02,albon,15,95.723,1:30.397,1:30.221,
2024,1,bahrain,2024-03-02,alonso,9,94.199,1:30.179,1:29.801,1:29.542
2024,1,bahrain,2024-03-02,bottas,19,96.202,1:30.756,,
2024,1,bahrain,2024-03-02,gasly,18,94.805,1:30.948,,
2024,1,bahrain,2024-03-02,hamilton,7,94.722,1:30.451,1:29.718,1:29.710
2024,1,bahrain,2024-03-02,hulkenberg,16,94.834,1:30.566,1:29.851,1:30.502
2024,1,bahrain,2024-03-02,kevin_magnussen,12,95.57,1:30.646,1:30.529,
2024,1,bahrain,2024-03-02,leclerc,4,94.09,1:30.243,1:29.165,1:29.407
2024,1,bahrain,2024-03-02,max_verstappen,1,92.608,1:30.031,1:29.374,1:29.179
2024,1,bahrain,2024-03-02,norris,6,94.476,1:30.143,1:29.941,1:29.614
2024,1,bahrain,2024-03-02,ocon,17,96.226,1:30.793,,
2024,1,bahrain,2024-03-02,perez,2,94.364,1:30.221,1:29.932,1:29.537
2024,1,bahrain,2024-03-02,piastri,8,94.983,1:30.531,1:30.122,1:29.683
2024,1,bahrain,2024-03-02,ricciardo,13,95.163,1:30.562,1:30.278,
2024,1,bahrain,2024-03-02,russell,5,95.065,1:30.350,1:29.922,1:29.485
2024,1,bahrain,2024-03-02,sainz,3,94.507,1:29.909,1:29.573,1:29.507
2024,1,bahrain,2024-03-02,sargeant,20,94.735,1:30.770,,
2024,1,bahrain,2024-03-02,stroll,10,95.632,1:29.965,1:30.200,
2024,1,bahrain,2024-03-02,tsunoda,14,95.833,1:30.481,1:30.129,
2024,1,bahrain,2024-03-02,zhou,11,95.458,1:30.757,,
2024,2,jeddah,2024-03-09,albon,11,92.307,1:29.107,1:28.980,
2024,2,jeddah,2024-03-09,alonso,5,92.387,1:28.706,1:28.122,1:27.846
2024,2,jeddah,2024-03-09,bearman,7,92.186,1:28.984,1:28.642,
2024,2,jeddah,2024-03-09,bottas,17,92.706,1:29.179,,
2024,2,jeddah,2024-03-09,hamilton,9,91.746,1:28.994,1:28.606,1:28.460
2024,2,jeddah,2024-03-09,hulkenberg,10,92.366,1:29.055,,
2024,2,jeddah,2024-03-09,kevin_magnussen,12,92.338,1:29.069,1:29.020,
2024,2,jeddah,2024-03-09,leclerc,3,91.632,1:28.318,1:28.112,1:27.791
2024,2,jeddah,2024-03-09,max_verstappen,1,91.773,1:28.171,1:28.033,1:27.472
2024,2,jeddah,2024-03-09,norris,8,91.944,1:28.805,1:28.479,1:28.132
2024,2,jeddah,2024-03-09,ocon,13,93.481,1:29.475,,
2024,2,jeddah,2024-03-09,perez,2,92.273,1:28.638,1:28.467,1:27.807
2024,2,jeddah,2024-03-09,piastri,4,92.31,1:28.755,1:28.343,1:28.089
2024,2,jeddah,2024-03-09,ricciardo,16,93.323,1:29.065,1:29.025,
2024,2,jeddah,2024-03-09,russell,6,92.254,1:28.749,1:28.448,1:28.316
2024,2,jeddah,2024-03-09,sargeant,14,93.026,1:29.526,,
2024,2,jeddah,2024-03-09,stroll,19,95.56,1:28.250,1:28.578,1:28.572
2024,2,jeddah,2024-03-09,tsunoda,15,93.523,1:28.988,1:28.564,1:28.547
2024,2,jeddah,2024-03-09,zhou,18,92.208,,,
2024,3,albert_park,2024-03-24,albon,11,81.618,,,
2024,3,albert_park,2024-03-24,alonso,8,80.493,,,
2024,3,albert_park,2024-03-24,bottas,14,81.422,,,
2024,3,albert_park,2024-03-24,gasly,13,81.09,,,
2024,3,albert_park,2024-03-24,hamilton,18,82.444,,,
2024,3,albert_park,2024-03-24,hulkenberg,9,81.145,,,
2024,3,albert_park,2024-03-24,kevin_magnussen,10,81.082,,,
2024,3,albert_park,2024-03-24,leclerc,2,79.813,,,
2024,3,albert_park,2024-03-24,max_verstappen,19,83.115,,,
2024,3,albert_park,2024-03-24,norris,3,79.91499999999999,,,
2024,3,albert_park,2024-03-24,ocon,16,81.354,,,
2024,3,albert_park,2024-03-24,perez,5,80.388,,,
2024,3,albert_park,2024-03-24,piastri,4,80.199,,,
2024,3,albert_park,2024-03-24,ricciardo,12,81.239,,,
2024,3,albert_park,2024-03-24,russell,17,80.28399999999999,,,
2024,3,albert_park,2024-03-24,sainz,1,80.031,,,
2024,3,albert_park,2024-03-24,stroll,6,80.93,,,
2024,3,albert_park,2024-03-24,tsunoda,7,81.134,,,
2024,3,albert_park,2024-03-24,zhou,15,81.327,,,
2024,4,suzuka,2024-04-07,alonso,6,94.726,1:29.254,1:29.082,1:28.686
2024,4,suzuka,2024-04-07,bottas,14,96.608,1:29.602,1:29.593,
2024,4,suzuka,2024-04-07,gasly,16,96.642,1:30.119,,
2024,4,suzuka,2024-04-07,hamilton,9,93.952,1:29.661,1:28.887,1:28.766
2024,4,suzuka,2024-04-07,hulkenberg,11,95.325,1:29.821,1:29.494,
2024,4,suzuka,2024-04-07,kevin_magnussen,13,96.654,1:30.131,,
2024,4,suzuka,2024-04-07,leclerc,4,95.044,1:29.338,1:29.196,1:28.786
2024,4,suzuka,2024-04-07,max_verstappen,1,93.706,1:28.866,1:28.740,1:28.197
2024,4,suzuka,2024-04-07,norris,5,95.186,1:29.536,1:28.940,1:28.489
2024,4,suzuka,2024-04-07,ocon,15,96.232,1:29.811,1:29.816,
2024,4,suzuka,2024-04-07,perez,2,93.945,1:29.303,1:28.752,1:28.263
2024,4,suzuka,2024-04-07,piastri,8,94.802,1:29.425,1:29.148,1:28.760
2024,4,suzuka,2024-04-07,russell,7,94.404,1:29.799,1:29.140,1:29.008
2024,4,suzuka,2024-04-07,sainz,3,93.841,1:29.513,1:29.099,1:28.682
2024,4,suzuka,2024-04-07,sargeant,17,94.9,1:30.139,,
2024,4,suzuka,2024-04-07,stroll,12,95.798,1:30.024,,
2024,4,suzuka,2024-04-07,tsunoda,10,96.342,1:29.775,1:29.417,1:29.413
2024,4,suzuka,2024-04-07,zhou,18,97.16,1:30.143,,
2024,5,shanghai,2024-04-21,albon,12,100.79,1:35.384,1:35.241,
2024,5,shanghai,2024-04-21,alonso,7,97.81,1:35.116,1:34.652,1:34.148
2024,5,shanghai,2024-04-21,bottas,20,101.276,1:35.169,1:34.769,1:34.665
2024,5,shanghai,2024-04-21,gasly,13,99.198,1:35.287,1:35.463,
2024,5,shanghai,2024-04-21,hamilton,9,100.835,1:35.573,,
2024,5,shanghai,2024-04-21,hulkenberg,10,100.815,1:35.068,1:34.667,1:34.604
2024,5,shanghai,2024-04-21,kevin_magnussen,16,101.077,1:35.516,,
2024,5,shanghai,2024-04-21,leclerc,4,99.384,1:34.797,1:34.399,1:34.289
2024,5,shanghai,2024-04-21,max_verstappen,1,98.406,1:34.742,1:33.794,1:33.660
2024,5,shanghai,2024-04-21,norris,2,98.751,1:34.842,1:34.460,1:34.165
2024,5,shanghai,2024-04-21,ocon,11,100.937,1:35.356,1:35.223,
2024,5,shanghai,2024-04-21,perez,3,99.388,1:35.457,1:34.026,1:33.982
2024,5,shanghai,2024-04-21,piastri,8,99.739,1:35.014,1:34.659,1:34.273
2024,5,shanghai,2024-04-21,ricciardo,18,100.994,1:35.443,1:34.934,
2024,5,shanghai,2024-04-21,russell,6,100.112,1:35.084,1:34.609,1:34.433
2024,5,shanghai,2024-04-21,sainz,5,99.764,1:34.970,1:34.368,1:34.297
2024,5,shanghai,2024-04-21,sargeant,17,101.0,1:36.358,,
2024,5,shanghai,2024-04-21,stroll,15,99.444,1:35.334,1:34.838,
2024,5,shanghai,2024-04-21,tsunoda,19,101.593,1:35.746,,
2024,5,shanghai,2024-04-21,zhou,14,98.633,1:35.505,,
2024,6,miami,2024-05-05 00:00:00,albon,18,90.849,,,
2024,6,miami,2024-05-05 00:00:00,alonso,9,91.727,,,
2024,6,miami,2024-05-05 00:00:00,bottas,16,92.098,,,
2024,6,miami,2024-05-05 00:00:00,gasly,12,92.055,,,
2024,6,miami,2024-05-05 00:00:00,hamilton,6,91.233,,,
2024,6,miami,2024-05-05 00:00:00,hulkenberg,11,91.941,,,
2024,6,miami,2024-05-05 00:00:00,kevin_magnussen,19,91.774,,,
2024,6,miami,2024-05-05 00:00:00,leclerc,3,91.084,,,
2024,6,miami,2024-05-05 00:00:00,max_verstappen,2,91.261,,,
2024,6,miami,2024-05-05 00:00:00,norris,1,90.98,,,
2024,6,miami,2024-05-05 00:00:00,ocon,10,92.037,,,
2024,6,miami,2024-05-05 00:00:00,perez,4,90.855,,,
2024,6,miami,2024-05-05 00:00:00,piastri,13,90.634,,,
2024,6,miami,2024-05-05 00:00:00,ricciardo,15,92.122,,,
2024,6,miami,2024-05-05 00:00:00,russell,8,91.921,,,
2024,6,miami,2024-05-05 00:00:00,sainz,5,90.928,,,
2024,6,miami,2024-05-05 00:00:00,sargeant,20,93.452,,,
2024,6,miami,2024-05-05 00:00:00,stroll,17,91.588,,,
2024,6,miami,2024-05-05 00:00:00,tsunoda,7,91.682,,,
2024,6,miami,2024-05-05 00:00:00,zhou,14,91.991,,,
2024,7,imola,2024-05-19,albon,20,81.274,1:16.524,1:16.200,
2024,7,imola,2024-05-19,alonso,19,79.004,1:16.917,,
2024,7,imola,2024-05-19,bottas,18,81.455,1:16.626,,
2024,7,imola,2024-05-19,gasly,16,81.371,1:16.015,1:16.381,
2024,7,imola,2024-05-19,hamilton,6,80.331,1:16.604,1:15.677,1:15.504
2024,7,imola,2024-05-19,hulkenberg,11,81.7,1:15.841,1:15.569,1:15.980
2024,7,imola,2024-05-19,kevin_magnussen,12,81.009,1:16.854,,
2024,7,imola,2024-05-19,leclerc,3,79.935,1:15.823,1:15.328,1:14.970
2024,7,imola,2024-05-19,max_verstappen,1,80.366,1:15.762,1:15.176,1:14.746
2024,7,imola,2024-05-19,norris,2,79.994,1:15.915,1:15.371,1:14.837
2024,7,imola,2024-05-19,ocon,14,81.304,1:16.361,1:15.906,
