season,round,race_date,avg_temp,precip_mm
2024,1,2024-03-02,17.05,0.0
2024,2,2024-03-09,23.75,0.0
2024,3,2024-03-24,16.8,0.0
2024,4,2024-04-07,16.700000000000003,0.3
2024,5,2024-04-21,16.9,1.7
2024,6,2024-05-05,25.450000000000003,0.3
2024,7,2024-05-19,18.15,0.2
2024,8,2024-05-26,17.6,0.0
2024,9,2024-06-09,16.6,5.5
2024,10,2024-06-23,20.299999999999997,2.8
2024,11,2024-06-30,22.85,0.0
2024,12,2024-07-07,12.55,2.0
2024,13,2024-07-21,23.549999999999997,0.2
2024,14,2024-07-28,15.9,0.0
2024,15,2024-08-25,16.6,3.1
2024,16,2024-09-01,25.65,19.1
2024,17,2024-09-15,22.65,0.0
2024,18,2024-09-22,28.900000000000002,0.0
2024,19,2024-10-20,22.95,0.0
2024,20,2024-10-27,16.2,1.8
2024,21,2024-11-03,20.55,16.6
2024,24,2024-12-08,24.15,0.0
2025,1,2025-03-16,16.35,13.1
2025,2,2025-03-23,20.55,3.4
2025,3,2025-04-06,12.0,7.4
2025,4,2025-04-13,26.4,0.0
2025,5,2025-04-20,31.1,0.0
2025,6,2025-05-04,26.0,2.0
2025,7,2025-05-18,17.55,1.0
2025,8,2025-05-25,17.75,0.0
2025,9,2025-06-01,23.15,0.0
2025,10,2025-06-15,19.3,0.0
2025,11,2025-06-29,23.4,0.0
2025,12,2025-07-06,16.5,12.1
2025,13,2025-07-27,15.95,10.0
