season,round,circuitId,race_date
2025,1,albert_park,2025-03-16
2025,2,shanghai,2025-03-23
2025,3,suzuka,2025-04-06
2025,4,bahrain,2025-04-13
2025,5,jeddah,2025-04-20
2025,6,miami,2025-05-04
2025,7,imola,2025-05-18
2025,8,monaco,2025-05-25
2025,9,catalunya,2025-06-01
2025,10,villeneuve,2025-06-15
2025,11,red_bull_ring,2025-06-29
2025,12,silverstone,2025-07-06
2025,13,spa,2025-07-27
2025,14,hungaroring,2025-08-03
2025,15,zandvoort,2025-08-31
2025,16,monza,2025-09-07
2025,17,baku,2025-09-21
2025,18,marina_bay,2025-10-05
2025,19,americas,2025-10-19
2025,20,rodriguez,2025-10-26
2025,21,interlagos,2025-11-09
2025,22,vegas,2025-11-23
2025,23,losail,2025-11-30
2025,24,yas_marina,2025-12-07
